Datum;Cas od;Cas do;859182400312449370-859182400306241157;859182400312449370-859182400604806744;859182400611509249-859182400302838511
02.06.2025;04:00;04:15;0,0;0,0;0,0;
02.06.2025;04:15;04:30;0,0;0,0;0,01;
02.06.2025;04:30;04:45;0,0;0,0;0,01;
02.06.2025;04:45;05:00;0,0;0,0;0,01;
02.06.2025;05:00;05:15;0,0;0,0;0,01;
02.06.2025;05:15;05:30;0,0;0,0;0,01;
02.06.2025;05:30;05:45;0,0;0,0;0,0;
02.06.2025;05:45;06:00;0,0;0,0;0,01;
02.06.2025;06:00;06:15;0,0;0,0;0,0;
02.06.2025;06:15;06:30;0,0;0,0;0,0;
02.06.2025;06:30;06:45;0,0;0,0;0,01;
02.06.2025;06:45;07:00;0,0;0,0;0,01;
02.06.2025;07:00;07:15;0,0;0,0;0,01;
02.06.2025;07:15;07:30;0,0;0,0;0,01;
02.06.2025;07:30;07:45;0,0;0,0;0,01;
02.06.2025;07:45;08:00;0,0;0,0;0,01;
02.06.2025;08:00;08:15;0,0;0,0;0,01;
02.06.2025;08:15;08:30;0,0;0,0;0,0;
02.06.2025;08:30;08:45;0,0;0,0;0,0;
02.06.2025;08:45;09:00;0,0;0,0;0,0;
02.06.2025;09:00;09:15;0,0;0,0;0,01;
02.06.2025;09:15;09:30;0,0;0,01;0,01;
02.06.2025;09:30;09:45;0,0;0,01;0,01;
02.06.2025;09:45;10:00;0,0;0,0;0,01;
02.06.2025;10:00;10:15;0,0;0,0;0,0;
02.06.2025;10:15;10:30;0,0;0,0;0,01;
02.06.2025;10:30;10:45;0,0;0,0;0,01;
02.06.2025;10:45;11:00;0,0;0,0;0,01;
02.06.2025;11:00;11:15;0,0;0,0;0,01;
02.06.2025;11:15;11:30;0,0;0,0;0,01;
02.06.2025;11:30;11:45;0,0;0,0;0,01;
02.06.2025;11:45;12:00;0,0;0,0;0,02;
02.06.2025;12:00;12:15;0,0;0,0;0,0;
02.06.2025;12:15;12:30;0,0;0,0;0,0;
02.06.2025;12:30;12:45;0,0;0,0;0,02;
02.06.2025;12:45;13:00;0,0;0,0;0,01;
02.06.2025;13:00;13:15;0,0;0,0;0,01;
02.06.2025;13:15;13:30;0,01;0,0;0,0;
02.06.2025;13:30;13:45;0,03;0,0;0,01;
02.06.2025;13:45;14:00;0,0;0,0;0,0;
02.06.2025;14:00;14:15;0,0;0,0;0,01;
02.06.2025;14:15;14:30;0,0;0,0;0,01;
02.06.2025;14:30;14:45;0,01;0,01;0,0;
02.06.2025;14:45;15:00;0,0;0,01;0,0;
02.06.2025;15:00;15:15;0,02;0,0;0,0;
02.06.2025;15:15;15:30;0,0;0,0;0,01;
02.06.2025;15:30;15:45;0,0;0,0;0,0;
02.06.2025;15:45;16:00;0,0;0,0;0,01;
02.06.2025;16:00;16:15;0,0;0,0;0,0;
02.06.2025;16:15;16:30;0,0;0,0;0,01;
02.06.2025;16:30;16:45;0,02;0,0;0,01;
02.06.2025;16:45;17:00;0,02;0,0;0,0;
02.06.2025;17:00;17:15;0,02;0,0;0,0;
02.06.2025;17:15;17:30;0,02;0,0;0,0;
02.06.2025;17:30;17:45;0,0;0,0;0,0;
02.06.2025;17:45;18:00;0,01;0,0;0,0;
02.06.2025;18:00;18:15;0,0;0,0;0,0;
